game,console,loose_val,complete_val,new_val,date(D/M/Y)
Super Mario Bros. [YM-901],game-&-watch,748.70,691.86,568.00,28/02/2024
Super Mario Bros. [YM-105],game-&-watch,101.68,312.59,844.00,28/02/2024
Super Mario Bros. [YM-801],game-&-watch,422.99,221.65,998.00,28/02/2024
Mario's Cement Factory [ML-102],game-&-watch,85.00,250.03,500.00,28/02/2024
Mario's Cement Factory [CM-72],game-&-watch,208.41,300.00,810.00,28/02/2024
Donkey Kong Jr. [CJ-93],game-&-watch,350.00,616.86,666.00,28/02/2024
Oil Panic [OP-51],game-&-watch,105.50,105.53,285.00,28/02/2024
Donkey Kong [DK-52],game-&-watch,74.84,235.00,357.40,28/02/2024
Donkey Kong 3 [AK-302],game-&-watch,108.99,234.99,259.75,28/02/2024
Mickey &amp; Donald [DM-53],game-&-watch,79.00,160.00,432.00,28/02/2024
Donkey Kong Circus [MK-96],game-&-watch,255.00,280.48,757.00,28/02/2024
Mickey Mouse [DC-95],game-&-watch,699.15,443.29,897.00,28/02/2024
Super Mario Bros. [35th Anniversary],game-&-watch,27.26,29.99,30.25,28/02/2024
Legend of Zelda,game-&-watch,30.65,44.46,51.00,28/02/2024
Zelda [ZL-65],game-&-watch,210.68,434.71,669.26,28/02/2024
Mario Bros. [MW-56],game-&-watch,68.57,231.79,626.00,28/02/2024
Bomb Sweeper [BD-62],game-&-watch,110.00,150.04,405.00,28/02/2024
Donkey Kong II [JR-55],game-&-watch,75.00,271.11,732.00,28/02/2024
Mario The Juggler [MB-108],game-&-watch,593.11,646.63,746.00,28/02/2024
Octopus [OC-22],game-&-watch,122.60,231.45,625.00,28/02/2024
Donkey Kong Jr. [DJ-101],game-&-watch,71.00,149.50,404.00,28/02/2024
Popeye [PP-23],game-&-watch,97.50,225.74,610.00,28/02/2024
Life Boat [TC-58],game-&-watch,74.09,172.37,180.00,28/02/2024
Donkey Kong Jr. [CJ-71],game-&-watch,232.42,255.66,697.26,28/02/2024
Balloon Fight [BF-803],game-&-watch,389.25,910.00,457.00,28/02/2024
Donkey Kong Hockey [HK-303],game-&-watch,102.82,164.14,215.81,28/02/2024
Manhole [NH-103],game-&-watch,164.44,465.14,256.00,28/02/2024
Rain Shower [LP-57],game-&-watch,161.29,456.45,232.00,28/02/2024
Snoopy [SM-73],game-&-watch,199.55,219.56,598.80,28/02/2024
Egg [EG-26],game-&-watch,010.50,309.65,236.00,28/02/2024
Green House [GH-54],game-&-watch,115.49,192.11,519.00,28/02/2024
Parachute [PR-21],game-&-watch,75.00,292.23,789.00,28/02/2024
Snoopy Tennis [SP-30],game-&-watch,97.08,200.00,540.00,28/02/2024
Ball [AC-01],game-&-watch,117.50,307.50,830.00,28/02/2024
Ball [Club Nintendo],game-&-watch,64.32,65.37,40.00,28/02/2024
Balloon Fight [BF-107],game-&-watch,169.78,282.91,350.00,28/02/2024
Black Jack [BJ-60],game-&-watch,116.03,204.81,553.00,28/02/2024
Boxing [BX-301],game-&-watch,124.32,185.51,501.00,28/02/2024
Chef [FP-24],game-&-watch,101.25,129.26,397.29,28/02/2024
Climber [DR-106],game-&-watch,200.00,440.00,188.00,28/02/2024
Climber [DR-802],game-&-watch,314.85,591.11,596.00,28/02/2024
Crab Grab [UD-202],game-&-watch,129.99,308.89,834.00,28/02/2024
Fire Attack [ID-29],game-&-watch,85.34,210.81,569.00,28/02/2024
Fire [FR-27],game-&-watch,76.54,270.23,730.00,28/02/2024
Fire [RC-04],game-&-watch,126.71,179.00,483.00,28/02/2024
Flagman [FL-02],game-&-watch,535.00,650.00,455.00,28/02/2024
Gold Cliff [MV-64],game-&-watch,114.90,224.50,606.00,28/02/2024
Helmet [CN-07],game-&-watch,74.51,81.96,223.53,28/02/2024
Judge Green [IP-05],game-&-watch,148.81,285.00,770.00,28/02/2024
Lion [LN-08],game-&-watch,99.00,210.30,568.00,28/02/2024
Manhole [MH-06],game-&-watch,95.00,95.00,257.00,28/02/2024
Mario's Bombs Away [TB-94],game-&-watch,239.04,383.92,037.00,28/02/2024
Mickey Mouse [MC-25],game-&-watch,74.06,636.34,718.00,28/02/2024
Neko Don Don,game-&-watch,N/A,N/A,N/A,28/02/2024
Pinball [PB-59],game-&-watch,80.50,385.51,041.00,28/02/2024
Popeye [PG-74],game-&-watch,175.00,360.00,972.00,28/02/2024
Popeye [PG-92],game-&-watch,267.88,279.00,753.00,28/02/2024
Safe Buster [JB-63],game-&-watch,112.24,187.50,767.49,28/02/2024
Snoopy [SM-91],game-&-watch,166.92,400.00,080.00,28/02/2024
Spitball Sparky [BU-201],game-&-watch,109.99,288.71,780.00,28/02/2024
Squish [MG-61],game-&-watch,87.37,150.00,405.00,28/02/2024
Tropical Fish [TF-104],game-&-watch,171.17,384.03,037.00,28/02/2024
Turtle Bridge [TL-28],game-&-watch,78.47,528.04,426.00,28/02/2024
Vermin [MT-03],game-&-watch,99.95,395.00,067.00,28/02/2024
Judge Purple [IP-05],game-&-watch,261.25,287.38,783.75,28/02/2024
