Title,Console,Loose Price,Complete Price,New Price
Pokemon Omega Ruby,nintendo-3ds,29.45,34.09,49.45
Pokemon X,nintendo-3ds,24.99,34.11,58.36
Pokemon Alpha Sapphire,nintendo-3ds,27.00,31.02,55.00
Pokemon Sun,nintendo-3ds,18.25,18.34,34.87
Pokemon Moon,nintendo-3ds,16.27,18.42,34.00
Pokemon Y,nintendo-3ds,27.87,32.99,44.97
Pokemon Ultra Sun,nintendo-3ds,34.96,34.97,48.99
Pokemon Ultra Moon,nintendo-3ds,31.81,38.48,44.99
Nintendo 3DS Pokemon 20th Anniversary Edition,nintendo-3ds,329.79,709.99,375.00
Pokemon Super Mystery Dungeon,nintendo-3ds,19.97,24.99,47.99
Pokemon Rumble Blast,nintendo-3ds,11.76,20.50,55.97
Pokemon Ultra Sun &amp; Pokemon Ultra Moon [Steelbook Edition],nintendo-3ds,187.62,200.54,252.21
Pokemon Sun &amp; Pokemon Moon Dual Pack,nintendo-3ds,20.02,114.95,209.13
Pokemon Y [Scizor],nintendo-3ds,29.82,35.78,54.00
Pokemon Mystery Dungeon Gates To Infinity,nintendo-3ds,22.38,26.86,46.15
Nintendo 3DS XL Pokemon X Y Blue Limited Edition,nintendo-3ds,175.50,357.92,622.33
Nintendo 3DS XL Pokemon X Y Red Limited Edition,nintendo-3ds,201.90,314.39,566.41
Pokemon Art Academy,nintendo-3ds,34.57,53.41,83.00
Pokemon Rumble World,nintendo-3ds,26.11,29.44,41.86
Pokemon Ultra Sun &amp; Pokemon Ultra Moon Dual Pack,nintendo-3ds,164.89,170.61,269.99
Pokemon Omega Ruby &amp; Alpha Sapphire Dual Pack,nintendo-3ds,45.72,399.99,492.12
Pokemon Sun &amp; Pokemon Moon Dual Pack [Steelbook Edition],nintendo-3ds,107.61,125.00,189.39
Pokemon X [Garchomp],nintendo-3ds,50.22,56.23,84.00
Pokemon Sun &amp; Moon [3 Starter Figures Edition],nintendo-3ds,133.63,154.99,234.75
Pokemon Sun [Figure Bundle],nintendo-3ds,73.33,83.93,130.43
Pokemon Sun and Moon Pokedex [Collector's Edition],nintendo-3ds,N/A,N/A,N/A
Pokemon Ultra Moon [Starter Bundle],nintendo-3ds,39.48,45.88,91.00
Pokemon Ultra Sun &amp; Pokemon Ultra Moon Dual Pack [Bonus Figures],nintendo-3ds,120.85,149.99,198.42
Pokemon Ultra Sun [Starter Bundle],nintendo-3ds,30.39,34.45,51.66
Pokemon Moon [Figure Bundle],nintendo-3ds,64.46,73.05,109.58
Pokemon SoulSilver Version,nintendo-ds,120.36,154.19,450.00
Pokemon Platinum,nintendo-ds,75.53,142.26,155.37
Pokemon HeartGold Version,nintendo-ds,120.00,173.95,320.00
Pokemon Black Version 2,nintendo-ds,127.99,164.95,248.93
Pokemon Black,nintendo-ds,70.86,93.00,296.02
Pokemon White Version 2,nintendo-ds,120.35,160.91,295.00
Pokemon Diamond,nintendo-ds,31.00,53.00,365.91
Pokemon White,nintendo-ds,64.64,80.00,278.59
Pokemon Pearl,nintendo-ds,35.65,59.99,205.52
Pokemon SoulSilver Version [Pokewalker],nintendo-ds,169.96,261.45,638.57
Pokemon HeartGold Version [Pokewalker],nintendo-ds,200.00,275.00,738.21
Pokemon Mystery Dungeon Explorers of Sky,nintendo-ds,90.35,159.99,299.99
